radar,lat,lon
pgr,53.98,-122.59
sas,52.16,-106.53
kap,49.39,-82.32
gbr,53.32,-60.46
cvw,43.271,-120.358
cve,43.271,-120.358
fhw,38.859,-99.389
fhe,38.859,-99.389
bks,37.1,-77.95
wal,37.93,-75.47
